2023-06-16,,,,style,position,Current drawdown,Largest drawdown,To lowest drawdown 📉🔽,To Highest required 📈🔼,pe,pe10pos,pe to lowest,pb,pb10pos,pb to lowest,roe,roe/pe,div,funds
A股,399088,2020-02-17,深创100,成长,,-32.61%,-40.95%,12.38%,48.39%,2.3e+01,5.20%,6.59%,3.5,7.80%,6.99%,15.22%,0.67,1.31%,"华宝深创100ETF发起式联接A(013177), 华宝深创100ETF发起式联接C(013178), 永赢深创100ETF发起式联接A(013907), 永赢深创100ETF发起式联接C(013908), 深创100(159716), 深创龙头ETF(159721)"
A股,000036,2009-01-08,上证消费,成长,,-38.03%,-45.71%,12.39%,61.37%,3.3e+01,55.79%,44.86%,7.7,71.51%,64.12%,23.33%,0.72,2.26%,华夏消费ETF(510630)
A股,931402,2020-01-13,证券先锋,价值,,-31.03%,-39.88%,12.83%,44.99%,1.9e+01,35.83%,28.73%,1.3,13.87%,9.95%,6.84%,0.36,1.53%,华富中证券公司先锋策略 ETF(516980)
A股,000806,2012-02-09,消费服务,成长,,-40.59%,-48.29%,12.96%,68.32%,1.1e+01,48.44%,37.75%,1.2,8.50%,13.75%,10.91%,1.0,3.34%,消服ETF(516600)
A股,950096,2016-05-10,上海国企,价值,,-22.42%,-32.55%,13.06%,28.90%,1.2e+01,57.44%,28.36%,0.86,6.95%,10.10%,7.17%,0.58,2.43%,"汇添富中证上海国企ETF联接A(003194), 中证上海国企ETF(510810)"
A股,931866,2022-05-08,中证机床,中盘成长,,-14.86%,-26.14%,13.25%,17.45%,4.2e+01,85.08%,21.94%,4.4,25.40%,15.44%,10.48%,0.25,0.70%,"国泰中证机床ETF发起联接A(017471), 国泰中证机床ETF发起联接C(017472), 华夏中证机床ETF(159663), 国泰中证机床ETF(159667)"
A股,000949,2009-10-27,中证农业,周期,,-40.38%,-48.31%,13.30%,67.73%,2e+01,4.43%,13.11%,2.5,0.70%,2.98%,12.50%,0.64,1.61%,"天弘中证农业主题A(010769), 天弘中证农业主题C(010770), 富国中证农业主题ETF联接A(015878), 华夏中证农业主题ETF发起式联接A(016077), 博时中证农业主题指数发起式A(017019), 华夏中证农业主题ETF(516810), 富国中证农业主题ETF(159825), 农业50(159827)"
A股,399330,2006-01-23,深证100,宽基,,-37.22%,-45.62%,13.38%,59.29%,2.1e+01,37.26%,30.24%,2.9,44.44%,35.80%,13.81%,0.64,1.49%,"宝盈祥瑞混合A(000639), 招商深证100指数C(004408), 易方达深证100ETF联接C(004742), 方正富邦深证100ETF联接A(006687), 方正富邦深证100ETF联接C(006688), 招商深证100ETF联接(008236), 招商深证100ETF联接C(008237), 广发深证100指数C(009472), 易方达深证100ETF联接A(110019), 融通深证100指数A/B(161604), 广发深证100指数（LOF）A(162714), 招商深证100指数A(217016), 建信深证100指数增强(530018), 深证100ETF华安(159706), 易方达深证100ETF(159901), 方正富邦深证100ETF(159961), 深100P(159969), 深100ETF工银(159970), 招商深证100ETF(159975), 国投瑞银深证100指数（LOF）(161227), 银华深证100指数(161812)"
A股,000037,2009-01-08,上证医药,成长,,-39.78%,-47.85%,13.40%,66.06%,3.4e+01,48.56%,37.73%,3.5,7.55%,19.86%,10.29%,0.3,1.12%,华夏医药ETF(510660)
A股,000978,2011-03-17,医药100,成长,,-39.44%,-47.63%,13.52%,65.13%,3e+01,13.59%,20.47%,3.7,5.87%,17.12%,12.33%,0.41,1.23%,"国联安中证医药100A(000059), 天弘中证医药100A(001550), 天弘中证医药100C(001551), 国联安中证医药100C(006569)"
A股,931476,2020-04-29,ESG 120策略,价值,,-31.74%,-41.26%,13.95%,46.50%,1e+01,48.75%,22.87%,1.2,37.42%,19.17%,12.00%,1.2,3.65%,"英大中证ESG120策略指数A(012854), 浦银安盛中证ESG 120策略ETF(516720)"
A股,399701,2010-05-09,深证F60,价值,,-35.19%,-44.23%,13.95%,54.30%,2.2e+01,80.01%,44.94%,2.2,51.11%,35.87%,10.00%,0.45,1.91%,"建信深证基本面60ETF联接C(006363), 建信深证基本面60ETF联接A(530015), 建信深证基本面60ETF(159916)"
A股,980030,2015-02-16,消费电子,成长,,-41.96%,-50.12%,14.06%,72.29%,5e+01,90.62%,62.72%,2.8,24.67%,12.97%,5.60%,0.11,0.79%,"东财消费电子指数增强A(012319), 东财消费电子指数增强C(012320), 华夏国证消费电子主题ETF(159732)"
A股,000043,2009-04-22,超大盘,价值,,-36.82%,-45.74%,14.12%,58.28%,9.4,24.10%,24.93%,1.3,23.89%,14.52%,13.83%,1.5,4.23%,"博时上证超大盘ETF联接(050013), 博时上证超大盘ETF(510020)"
A股,399310,2005-09-04,国证A50,宽基,,-37.92%,-46.69%,14.13%,61.08%,1.4e+01,80.43%,54.44%,1.8,71.36%,41.78%,12.86%,0.92,2.93%,"天弘国证A50指数A(010953), 天弘国证A50指数C(010954)"
A股,000016,2004-01-01,上证50,宽基,*,-35.44%,-44.70%,14.34%,54.89%,1e+01,50.62%,30.77%,1.2,48.07%,17.47%,12.00%,1.2,4.05%,"华夏上证50ETF联接A(001051), 博时上证50ETF联接A(001237), 天弘上证50A(001548), 天弘上证50C(001549), 易方达上证50增强C(004746), 华夏上证50ETF联接C(005733), 博时上证50ETF联接C(005737), 建信上证50ETF联接A(005880), 建信上证50ETF联接C(005881), 工银上证50ETF联接A(006220), 工银上证50ETF联接C(006221), 易方达上证50ETF联接发起式A(007379), 易方达上证50ETF联接发起式C(007380), 南方上证50指数增强发起A(008056), 南方上证50指数增强发起C(008057), 东财上证50A(008240), 东财上证50C(008241), 汇添富上证50基本面增强指数A(012157), 汇添富上证50基本面增强指数C(012158), 易方达上证50指数（LOF）C(012875), 建信上证50ETF发起联接E(013444), 华泰柏瑞上证50指数增强A(016697), 华安上证50ETF联接A(040190), 易方达上证50增强A(110003), 中海上证50指数增强(399001), 长盛上证50指数（LOF）(502040), 易方达上证50指数（LOF）A(502048), 华夏上证50ETF(510050), 易方达上证50ETF(510100), 申万菱信上证50交易型开放式指数发起式(510600), 万家上证50ETF(510680), 博时上证50ETF(510710), 建信上证50ETF(510800), 工银上证50ETF(510850)"
A股,931375,2019-11-24,300质量低波,价值,,-22.75%,-33.96%,14.51%,29.45%,1.4e+01,86.00%,52.85%,2.1,86.23%,62.27%,15.00%,1.1,3.39%,"鹏扬沪深300质量低波A(011132), 鹏扬沪深300质量低波C(011133)"
A股,399702,2010-05-09,深证F120,价值,,-31.38%,-41.40%,14.60%,45.73%,2.1e+01,58.91%,39.91%,2.1,30.95%,26.32%,10.00%,0.48,1.88%,"嘉实深证基本面120ETF联接C(005998), 嘉实深证基本面120ETF联接A(070023), 嘉实深证基本面120ETF(159910)"
A股,931403,2020-01-13,品牌工程,成长,,-30.13%,-40.53%,14.88%,43.12%,3e+01,8.08%,12.08%,5.0,7.48%,10.34%,16.67%,0.56,1.54%,"农银中证新华社民族品牌指数(012394), 富国中证新华社民族品牌工程ETF联接A(014406), 富国中证新华社民族品牌工程ETF联接C(014407), 富国中证新华社民族品牌工程ETF(561130)"
A股,399313,2005-02-02,巨潮100,宽基,,-34.19%,-44.25%,15.29%,51.95%,1.1e+01,41.44%,34.94%,1.3,27.70%,16.99%,11.82%,1.1,3.48%,"融通巨潮100指数C(004874), 融通巨潮100指数A/B(161607)"
A股,931395,2020-01-13,沪港深300,宽基,,-33.08%,-43.32%,15.30%,49.43%,1.1e+01,32.99%,20.94%,1.2,16.03%,15.57%,10.91%,1.0,3.57%,"国寿安保沪港深300ETF联接A(012663), 易方达中证沪港深300ETF(517030), 沪港深300ETF(517300)"
A股,931068,2018-11-20,消费龙头,成长,,-45.41%,-53.80%,15.37%,83.18%,2.5e+01,35.17%,36.85%,4.9,38.32%,29.87%,19.60%,0.79,2.39%,"华宝消费龙头C(009329), 招商中证消费龙头指数增强A(011853), 招商中证消费龙头指数增强C(011854), 消费龙头LOF(501090), 消费龙头ETF(516130)"
A股,H30597,2015-02-12,新材料,周期,,-40.75%,-49.90%,15.44%,68.78%,2e+01,6.96%,17.39%,3.7,33.89%,33.97%,18.50%,0.92,1.31%,"天弘中证新材料指数A(012561), 天弘中证新材料指数C(012562), 华宝中证新材料ETF发起式联接A(013473), 华宝中证新材料ETF发起式联接C(013474), 华夏中证新材料主题ETF发起式联接A(014431), 华夏中证新材料主题ETF发起式联接C(014432), 国泰中证新材料主题ETF发起联接A(014908), 国泰中证新材料主题ETF发起联接C(014909), 华宝新材料ETF(516360), 国联安新材料ETF(516480), 华夏中证新材料主题ETF(516710), 平安中证新材料主题ETF(516890), 新材料ETF(159703), 国泰中证新材料主题ETF(159761), 建信中证新材料主题ETF(159763)"
A股,980017,2015-02-16,国证芯片,成长,,-40.48%,-49.70%,15.49%,68.01%,5.9e+01,35.41%,48.53%,4.6,20.24%,21.55%,7.80%,0.13,0.19%,"华夏国证半导体芯片ETF联接A(008887), 华夏国证半导体芯片ETF联接C(008888), 广发国证半导体芯片ETF联接A(012629), 广发国证半导体芯片ETF联接C(012630), 鹏华国证半导体芯片ETF联接A(012969), 鹏华国证半导体芯片ETF联接C(012970), 半导体龙头ETF(159665), 广发国证半导体芯片ETF(159801), 芯片(159813), 华夏国证半导体芯片ETF(159995)"
A股,399417,2014-09-23,新能源车,成长,,-41.56%,-50.70%,15.64%,71.12%,2.2e+01,18.51%,34.00%,4.2,58.22%,60.21%,19.09%,0.87,0.87%,"国泰国证新能源汽车指数（LOF）C(014997), 国泰国证新能源汽车指数（LOF）A(160225)"
A股,000991,2011-08-01,全指医药,成长,,-37.84%,-47.59%,15.69%,60.88%,3e+01,14.94%,21.52%,3.7,17.04%,25.68%,12.33%,0.41,1.22%,"广发医药卫生联接A(001180), 广发医药卫生联接C(002978), 银华中证全指医药卫生指数增强发起式(005112), 广发中证全指医药卫生ETF(159938)"
A股,930614,2015-04-06,环保50,成长,,-38.62%,-48.28%,15.74%,62.92%,1.8e+01,3.56%,12.32%,3.1,54.76%,38.60%,17.22%,0.95,1.78%,"国泰中证环保产业50ETF联接A(012503), 国泰中证环保产业50ETF联接C(012504), 国泰中证环保产业50ETF(159861)"
A股,000859,2019-05-15,国企一带一路,价值,,-15.78%,-29.14%,15.86%,18.74%,1.3e+01,31.79%,21.94%,1.8,76.56%,35.25%,13.85%,1.1,3.28%,"富国中证国企一带一路ETF联接A(007786), 富国中证国企一带一路ETF联接C(007787), 易方达中证国企一带一路ETF联接发起式A(007788), 易方达中证国企一带一路ETF联接发起式C(007789), 添富中证国企一带一路ETF联接A(008907), 添富中证国企一带一路ETF联接C(008908), 易方达中证国企一带一路ETF(515110), 富国中证国企一带一路ETF(515150), 添富中证国企一带一路ETF(515990)"
A股,950090,2015-12-09,50AH优选,价值,,-34.26%,-44.73%,15.93%,52.11%,8.4,39.35%,25.20%,1.0,38.26%,18.79%,11.90%,1.4,4.13%,华夏上证50AH优选指数（LOF）A(501050)
港股,HSSI,2001-10-02,恒生综合小型股指数,,,-49.19%,-57.32%,16.00%,96.81%,2.4e+01,93.38%,69.89%,0.74,7.19%,21.20%,3.08%,0.13,2.93%,"易方达香港恒生综合小型股指数（QDII-LOF）C(006263), 易方达香港恒生综合小型股指数（QDII-LOF）A(161124)"
港股,HSHKBIO,2019-11-30,恒生香港上市生物科技指数,成长,,-60.96%,-67.23%,16.06%,156.15%,8.3e+01,26.41%,55.81%,2.6,15.38%,24.22%,3.13%,0.038,1.08%,华夏恒生香港上市生物科技ETF（QDII）(159892)
A股,000860,2018-03-25,结构调整,价值,,-8.93%,-23.86%,16.39%,9.81%,1.3e+01,30.24%,25.26%,1.4,57.56%,20.53%,10.77%,0.85,3.66%,"华夏中证央企ETF联接A(006196), 华夏中证央企ETF联接C(006197), 博时央调ETF联接A(006438), 博时央调ETF联接C(006439), 华夏中证央企ETF(512950), 博时央企结构调整ETF(512960), 央企ETF(159959)"
A股,931494,2020-06-11,消费电子,成长,,-36.32%,-46.80%,16.46%,57.04%,3.8e+01,62.19%,46.44%,3.2,31.23%,19.99%,8.42%,0.22,0.83%,"国泰中证消费电子主题ETF发起联接A(014906), 国泰中证消费电子主题ETF发起联接C(014907), 富国中证消费电子主题ETF发起式联接A(015876), 平安中证消费电子主题ETF发起式联接A(015894), 招商中证消费电子主题ETF联接A(016007), 富国中证消费电子主题ETF(561100), 国泰中证消费电子主题ETF(561310), 平安中证消费电子主题ETF(561600), 易方达中证消费电子主题ETF(562950), 景顺长城中证消费电子ETF(159733), 消费电子龙头ETF(159769), 招商中证消费电子主题ETF(159779)"
A股,931587,2020-11-08,500价值稳健,中盘价值,,-8.80%,-23.85%,16.50%,9.65%,1.5e+01,87.99%,36.51%,1.1,60.03%,21.95%,7.33%,0.48,2.96%,华夏中证智选500价值稳健策略ETF(159617)
A股,930820,2016-05-10,CS高端制,成长,,-30.33%,-41.88%,16.58%,43.53%,3.1e+01,22.70%,29.76%,3.2,37.52%,34.69%,10.32%,0.34,1.05%,富国中证高端制造指数增强型（LOF）A(161037)
A股,H30455,2014-11-27,沪港深500,宽基,,-32.19%,-43.46%,16.62%,47.47%,1.1e+01,27.60%,19.61%,1.2,7.84%,15.68%,10.91%,1.0,3.59%,"富国中证沪港深500ETF联接A(012275), 富国中证沪港深500ETF联接C(012276), 华夏中证沪港深500ETF发起式联接A(017557), 沪港深(517000), 易方达中证沪港深500ETF(517010), 汇添富中证沪港深500ETF(517080), 富国中证沪港深500ETF(517100), 华夏中证沪港深500ETF(517170)"
港股,HSCAIT,2009-09-20,恒生A股行业龙头指数,平衡,,-32.95%,-44.32%,16.96%,49.14%,1e+01,58.23%,36.33%,1.2,42.30%,17.16%,12.00%,1.2,4.03%,"汇丰晋信恒生龙头指数C(001149), 汇丰晋信恒生龙头指数A(540012)"
A股,930740,2018-12-03,300红利LV,价值,,-6.78%,-22.67%,17.05%,7.27%,7.3,54.82%,25.66%,0.79,31.00%,22.00%,10.82%,1.5,4.84%,"嘉实沪深300红利低波动ETF联接A(007605), 嘉实沪深300红利低波动ETF联接C(007606), 嘉实沪深300红利低波动ETF(515300)"
A股,931139,2019-03-19,CS消费50,成长,,-44.14%,-53.70%,17.11%,79.02%,2.4e+01,20.37%,17.84%,5.2,11.83%,18.38%,21.67%,0.89,2.38%,"富国中证消费50ETF联接A(008975), 富国中证消费50ETF联接C(008976), 东兴中证消费50A(009116), 东兴中证消费50C(009117), 富国中证消费50ETF(515650), 易方达中证消费50ETF(159798)"
A股,931663,2015-03-12,SHS消费龙头,成长,,-45.18%,-54.63%,17.24%,82.42%,2.6e+01,22.69%,27.89%,5.1,62.87%,47.69%,19.62%,0.77,2.30%,"汇添富中证沪港深消费龙头指数发起A(013129), 汇添富中证沪港深消费龙头指数发起C(013130), 招商中证沪港深消费龙头ETF(517550), 浦银安盛中证沪港深消费龙头ETF(517760)"
A股,930653,2015-06-04,CS食品饮,成长,,-34.29%,-45.66%,17.30%,52.18%,3.2e+01,46.62%,35.10%,6.0,48.31%,42.61%,18.75%,0.58,2.06%,"天弘中证食品饮料ETF联接A(001631), 东财食品饮料指数增强A(012340), 东财食品饮料指数增强C(012341), 饮食ETF(159736)"
A股,399812,2014-06-05,养老产业,成长,,-37.47%,-48.33%,17.37%,59.92%,2.1e+01,28.65%,16.94%,2.2,3.23%,8.48%,10.48%,0.51,2.04%,"广发养老指数A(000968), 广发养老指数C(002982), 华宝养老ETF(516560)"
A股,931521,2020-07-07,高装细分50,成长,,-31.06%,-43.11%,17.48%,45.05%,4.9e+01,17.11%,21.16%,3.6,4.93%,5.88%,7.35%,0.15,0.56%,"嘉实中证高端装备细分50ETF发起联接A(018027), 嘉实中证高端装备细分50ETF(159638)"
港股,HSHCI,2015-08-16,恒生医疗保健指数,成长,,-60.77%,-67.64%,17.51%,154.91%,1.5e+02,81.43%,89.12%,2.5,29.30%,22.11%,1.67%,0.011,1.09%,博时恒生医疗保健（QDII-ETF）(513060)
A股,000688,2020-07-22,科创50,成长,,-35.12%,-46.51%,17.56%,54.13%,4.4e+01,34.23%,19.31%,4.7,26.99%,14.25%,10.68%,0.24,0.66%,"易方达上证科创板50联接A(011608), 易方达上证科创板50联接C(011609), 科创板ETF联接A(011610), 科创板ETF联接C(011611), 华夏上证科创板50成份ETF联接A(011612), 华夏上证科创板50成份ETF联接C(011613), 工银科创ETF联接A(011614), 工银科创ETF联接C(011615), 广发科创50ETF发起式联接A(013810), 广发科创50ETF发起式联接C(013811), 国联安上证科创50ETF联接A(013893), 嘉实上证科创板50指数增强发起式A(017188), 华夏上证科创板50成份ETF(588000), 科创ETF(588050), 广发科创50ETF (588060), 易方达上证科创板50ETF(588080), 科创板ETF(588090), 南方上证科创板50成份ETF(588150), 国联安科创ETF(588180), 华安上证科创板50ETF(588280), 南方上证科创板50成份增强策略ETF(588370), 科创50增强ETF(588460)"
A股,H30015,2012-12-20,800汽车,成长,,-28.51%,-41.31%,17.90%,39.88%,2.7e+01,71.27%,56.95%,2.2,52.93%,39.92%,8.15%,0.31,1.32%,"国泰中证800汽车与零部件ETF发起联接A(012973), 国泰中证800汽车与零部件ETF发起联接C(012974), 国泰中证800汽车与零部件ETF(516110)"
A股,H30089,2013-07-01,红利潜力,价值,,-25.92%,-39.18%,17.90%,34.99%,1.7e+01,34.43%,41.98%,2.7,82.35%,54.23%,15.88%,0.96,3.49%,"建信中证红利潜力指数A(007671), 建信中证红利潜力指数C(007672), 山西证券中证红利潜力ETF联接  (008149), 山西证券中证红利潜力ETF(515570)"
A股,399976,2014-11-27,CS新能车,成长,,-42.55%,-52.93%,18.07%,74.06%,2e+01,6.15%,23.26%,4.3,46.30%,51.18%,21.50%,1.1,0.93%,"国泰中证新能源汽车ETF联接A(009067), 国泰中证新能源汽车ETF联接C(009068), 东财中证新能源车ETF发起式联接A(010805), 东财中证新能源车ETF发起式联接C(010806), 天弘中证新能源车A(011512), 天弘中证新能源车C(011513), 嘉实中证新能源汽车指数A(012543), 嘉实中证新能源汽车指数C(012544), 华夏中证新能源汽车ETF发起式联接A(013013), 华夏中证新能源汽车ETF发起式联接C(013014), 富国中证新能源汽车指数C(013048), 招商中证新能源汽车指数A(013195), 招商中证新能源汽车指数C(013196), 华安中证新能源汽车ETF发起式联接A(013319), 华安中证新能源汽车ETF发起式联接C(013320), 华夏中证新能源汽车ETF(515030), 华安中证新能源汽车ETF(516660), 新能源车龙头ETF(159637), 国泰中证新能源汽车ETF(159806), 博时新能源汽车ETF(159824), 富国中证新能源汽车指数A(161028)"
A股,399989,2014-10-30,中证医疗,成长,,-54.03%,-62.40%,18.21%,117.53%,3.1e+01,12.71%,26.06%,4.9,6.81%,14.36%,15.81%,0.51,1.25%,"广发中证医疗指数C(009881), 华宝医疗ETF联接C(012323), 国泰中证医疗ETF联接A(012634), 国泰中证医疗ETF联接C(012635), 嘉实中证医疗指数发起式A(014602), 嘉实中证医疗指数发起式C(014603), 易方达中证医疗ETF联接发起式A(017937), 广发中证医疗指数（LOF）A(502056), 华宝中证医疗ETF(512170), 国泰中证医疗ETF(159828), 易方达中证医疗ETF(159847), 华宝医疗ETF联接A(162412)"
A股,931524,2020-07-15,SHS科技龙头,成长,,-44.31%,-54.53%,18.35%,79.57%,2.7e+01,39.51%,28.51%,3.8,36.81%,26.55%,14.07%,0.53,0.71%,"天弘中证沪港深科技龙头指数A(012559), 天弘中证沪港深科技龙头指数C(012560), 鹏华中证沪港深科技龙头指数(LOF)C(012809), 汇添富中证沪港深科技龙头指数发起式A(013093), 汇添富中证沪港深科技龙头指数发起式C(013094), 广发中证沪港深科技龙头ETF联接A(013162), 广发中证沪港深科技龙头ETF联接C(013163), 宝盈中证沪港深科技龙头指数发起式A(015820), 鹏华中证沪港深科技龙头指数(LOF)A(160646), 浦银安盛中证沪港深科技龙头ETF (517270), 广发中证沪港深科技龙头ETF(517350), 汇添富中证沪港深科技龙头ETF(159723)"
A股,399986,2013-07-14,中证银行,价值,,-22.86%,-37.08%,18.43%,29.63%,4.9,17.41%,16.25%,0.56,7.35%,13.28%,11.43%,2.3,5.76%,"天弘中证银行ETF联接A(001594), 天弘中证银行ETF联接C(001595), 南方中证银行ETF发起联接A(004597), 南方中证银行ETF发起联接C(004598), 华宝银行ETF联接C(006697), 添富中证银行ETF联接A(007153), 添富中证银行ETF联接C(007154), 华夏中证银行ETF联接A(008298), 华夏中证银行ETF联接C(008299), 易方达中证银行指数（LOF）C(009860), 东财中证银行指数A(011971), 东财中证银行指数C(011972), 鹏华银行C(012042), 南方中证银行ETF发起联接E(012547), 富国中证银行指数C(013330), 招商中证银行指数C(014028), 华安中证银行指数A(160418), 博时中证银行指数(160517), 招商中证银行指数A(161723), 华宝银行ETF联接A(240019), 南方中证银行ETF(512700), 银行FUND(512730), 华宝中证银行ETF(512800), 中证银行ETF(512820), 华夏中证银行ETF(515020), 富国中证银行ETF(515280), 银行(515290), 华安中证银行ETF(516210), 易方达中证银行ETF(516310), 鹏华银行A(160631), 富国中证银行指数A(161029), 易方达中证银行指数（LOF）A(161121)"
A股,931159,2019-05-15,创新100,成长,,-24.12%,-38.20%,18.56%,31.79%,3.8e+01,46.08%,21.14%,4.2,22.13%,19.11%,11.05%,0.29,0.96%,"诺德研发创新100(007737), 申万菱信中证研发创新100交易型开放式指数联接A(007983), 申万菱信中证研发创新100交易型开放式指数联接C(007984), 申万菱信中证研发创新100交易型开放式指数(515200), 创新ETF(159987)"
A股,930997,2017-07-18,新能源车,成长,,-42.15%,-53.06%,18.86%,72.86%,2.1e+01,19.35%,32.63%,4.2,49.48%,57.97%,20.00%,0.96,0.91%,"平安中证新能源汽车ETF发起联接A(012698), 平安中证新能源汽车ETF发起联接C(012699), 汇添富中证新能源汽车产业指数(LOF）A(501057), 汇添富中证新能源汽车产业指数（LOF）C(501058), 平安中证新能源汽车产业ETF(515700), 汇添富中证新能源汽车产业ETF(516390)"
A股,000807,2012-02-16,食品饮料,成长,,-35.49%,-47.72%,18.96%,55.01%,3.1e+01,56.28%,51.67%,7.0,63.63%,56.62%,22.58%,0.72,2.15%,"天弘中证食品饮料ETF联接C(001632), 华安中证申万食品饮料ETF(516900)"
A股,H30035,2012-12-20,300非银,价值,,-36.18%,-48.29%,18.98%,56.69%,1.4e+01,27.02%,25.12%,1.3,7.91%,16.13%,9.29%,0.65,2.38%,"易方达沪深300非银联接A(000950), 易方达沪深300非银联接C(007882), 易方达沪深300非银ETF(512070)"
A股,399324,2006-01-23,深证红利,成长,,-41.24%,-52.50%,19.16%,70.18%,1.9e+01,84.69%,40.33%,1.7,6.11%,11.97%,8.95%,0.48,2.75%,"工银深证红利ETF联接C(006724), 工银深证红利ETF联接A(481012), 红利ETF(159708), 深红利ETF(159905)"
A股,000815,2012-04-10,细分食品,成长,,-34.09%,-46.74%,19.19%,51.72%,3.1e+01,50.04%,53.75%,6.9,63.22%,58.25%,22.26%,0.72,2.12%,"华宝食品ETF联接A(012548), 华宝食品ETF联接C(012549), 华泰紫金中证细分食品饮料主题指数发起A(012763), 华泰紫金中证细分食品饮料主题指数发起C(012764), 华夏中证细分食品饮料产业主题ETF发起式联接A(013125), 华夏中证细分食品饮料产业主题ETF发起式联接C(013126), 华夏中证细分食品饮料产业主题ETF(515170), 食品ETF(515710), 食品ETF(159862)"
A股,399396,2012-10-28,国证食品,成长,,-35.42%,-47.87%,19.28%,54.85%,3.2e+01,60.48%,50.98%,6.4,58.51%,53.69%,20.00%,0.63,2.12%,"国泰国证食品饮料行业指数C(015040), 招商国证食品饮料ETF(159843), 国泰国证食品饮料行业指数A(160222)"
