2024/10/25,stockCode,publishDate,stockName,style,Current drawdown,Largest drawdown,fall_to_lowest_drawdown,funds
A股,980032,2015/2/17,新能电池,成长,-54.32%,-67.76%,-29.42%,"广发国证新能源车电池ETF发起联接A(013179), 广发国证新能源车电池ETF发起联接C(013180), 景顺长城国证新能源车电池ETF联接A(015871), 景顺长城国证新能源车电池ETF联接C(015872), 工银国证新能源车电池ETF发起式联接A(015873), 工银国证新能源车电池ETF发起式联接C(015874), 万家国证新能源车电池指数发起式A(018379), 万家国证新能源车电池指数发起式C(018380), 广发国证新能源车电池ETF(159755), 景顺长城国证新能源车电池ETF(159757), 兴银国证新能源车电池 ETF(159767), 建信国证新能源车电池ETF(159775), 锂电池ETF(159840)"
A股,945,2009/10/28,内地运输,价值,-54.30%,-60.86%,-14.35%,"国泰中证内地运输主题ETF发起联接A(018905), 国泰中证内地运输主题ETF发起联接C(018906), 国泰中证内地运输主题ETF(561320), 嘉实中证内地运输主题ETF(159683)"
A股,931166,2019/4/25,医药健康100,成长,-54.29%,-62.97%,-18.99%,"嘉实中证医药健康100策略ETF联接A(008154), 嘉实中证医药健康100策略ETF联接C(008155), 嘉实医药健康100ETF(515960)"
A股,808,2012/2/17,医药生物,成长,-54.28%,-63.07%,-19.23%,"申万菱信中证申万医药生物指数C(015176), 申万菱信中证申万医药生物指数A(163118)"
A股,814,2012/4/11,细分医药,成长,-54.25%,-62.43%,-17.88%,"华安中证细分医药ETF联接A(000373), 华安中证细分医药ETF联接C(000376), 华安中证细分医药ETF(512120)"
A股,998,2011/11/8,中证TMT,成长,-54.17%,-70.91%,-36.53%,"中信保诚中证TMT指数（LOF）C(013122), 中信保诚中证TMT指数（LOF）A(165522)"
港股,HSSSHID,2020/3/1,恒生沪深港创新药精选50指数,成长,-53.88%,-64.78%,-23.63%,天弘恒生沪深港创新药精选50ETF(517380)
A股,930604,2015/3/23,中国互联网30,成长,-53.83%,-73.25%,-42.06%,"广发中证海外中国互联网30（QDII-ETF）(159605), 嘉实中证海外中国互联网30ETF（QDII）(159607)"
A股,813,2012/4/11,细分化工,成长,-53.82%,-62.43%,-18.64%,"华宝化工ETF联接A(012537), 华宝化工ETF联接C(012538), 嘉实中证细分化工产业主题指数发起式A(013527), 嘉实中证细分化工产业主题指数发起式C(013528), 鹏华中证细分化工产业主题ETF联接A(014942), 鹏华中证细分化工产业主题ETF联接C(014943), 汇添富中证细分化工产业主题指数增强发起式A(015225), 华泰紫金中证细分化工产业主题指数发起A(015328), 华泰紫金中证细分化工产业主题指数发起C(015329), 天弘中证细分化工指数发起A(015896), 天弘中证细分化工指数发起C(015897), 东财中证化工指数发起式A(019589), 东财中证化工指数发起式C(019590), 富国中证细分化工产业主题ETF发起式联接A(020273), 富国中证细分化工产业主题ETF发起式联接C(020274), 华宝化工ETF(516020), 富国中证细分化工产业主题ETF(516120), 国泰中证细分化工产业主题ETF(516220), 化工产业(516690), 化工ETF(159870)"
A股,399973,2014/4/15,中证国防,成长,-53.73%,-71.73%,-38.90%,"鹏华国防C(012041), 国防ETF(512670), 鹏华国防A(160630)"
A股,399975,2013/7/15,证券公司,周期,-53.69%,-73.22%,-42.17%,"南方中证全指证券公司ETF联接A(004069), 南方中证全指证券公司ETF联接C(004070), 华宝券商ETF联接(006098), 华宝券商ETF联接C(007531), 华夏中证全指证券公司ETF联接A(007992), 华夏中证全指证券公司ETF联接C(007993), 天弘中证全指证券公司ETF发起式联接A(008590), 天弘中证全指证券公司ETF发起式联接C(008591), 鹏华券商C(012044), 国泰中证全指证券公司ETF联接A(012362), 国泰中证全指证券公司ETF联接C(012363), 易方达中证全指证券公司ETF联接A(012590), 建信中证全指证券公司ETF发起式联接A(012645), 建信中证全指证券公司ETF发起式联接C(012646), 易方达中证全指证券公司ETF联接C(012700), 易方达中证全指证券公司指数（LOF）C(012874), 富国中证全指证券公司指数C(013276), 招商中证全指证券公司指数C(013597), 华安中证全指证券公司ETF联接C(014984), 嘉实中证全指证券公司指数发起式A(016842), 嘉实中证全指证券公司指数发起式C(016843), 博时证券公司指数C(018686), 长盛中证证券公司指数C(021556), 华安中证全指证券公司ETF联接A(160419), 博时证券公司指数A(160516), 汇添富中证全指证券公司ETF联接（LOF）A(501047), 汇添富中证全指证券公司ETF联接（LOF）C(501048), 易方达中证全指证券公司指数（LOF）A(502010), 长盛中证证券公司指数（LOF)A(502053), 华宝中证全指证券公司ETF(512000), 易方达中证全指证券公司ETF(512570), 国泰中证全指证券公司ETF(512880), 南方中证全指证券公司ETF(512900), 华夏中证全指证券公司ETF(515010), 建信中证全指证券公司ETF(515560), 富国中证全指证券公司ETF(515850), 华安中证全指证券公司ETF(516200), 汇添富中证全指证券公司ETF(560090), 天弘中证全指证券公司ETF(159841), 券商ETF(159842), 国联安证券ETF(159848), 鹏华券商A(160633), 富国中证全指证券公司指数A(161027), 招商中证全指证券公司指数A(161720)"
A股,H30217,2013/7/15,医疗器械,成长,-53.63%,-63.68%,-21.67%,"永赢中证全指医疗器械ETF发起联接A(013415), 永赢中证全指医疗器械ETF发起联接C(013416), 汇添富中证全指医疗器械ETF发起式联接A(017632), 汇添富中证全指医疗器械ETF发起式联接D(017634), 招商中证全指医疗器械ETF发起式联接A(018395), 招商中证全指医疗器械ETF发起式联接C(018396), 华夏中证全指医疗器械ETF发起式联接A(021250), 华夏中证全指医疗器械ETF发起式联接C(021251), 华夏中证全指医疗器械ETF(562600), 汇添富中证全指医疗器械ETF(159797), 医疗器械ETF(159883), 招商中证全指医疗器械ETF(159898)"
A股,933,2009/7/3,中证医药,成长,-53.14%,-62.19%,-19.31%,"汇添富中证医药ETF联接A(007076), 汇添富中证医药ETF联接C(007077), 东财医药A(008551), 东财医药C(008552), 鹏华中证医药指数C（LOF）(010366), 长城中证医药卫生指数增强A(014205), 长城中证医药卫生指数增强C(014206), 汇添富中证医药卫生ETF(159929), 鹏华中证医药指数A（LOF）(160635)"
A股,H30597,2015/2/13,新材料,周期,-52.69%,-65.31%,-26.68%,"天弘中证新材料指数A(012561), 天弘中证新材料指数C(012562), 华宝中证新材料ETF发起式联接A(013473), 华宝中证新材料ETF发起式联接C(013474), 华夏中证新材料主题ETF发起式联接A(014431), 华夏中证新材料主题ETF发起式联接C(014432), 国泰中证新材料主题ETF发起联接A(014908), 国泰中证新材料主题ETF发起联接C(014909), 华宝新材料ETF(516360), 国联安新材料ETF(516480), 华夏中证新材料主题ETF(516710), 平安中证新材料主题ETF(516890), 天弘中证新材料主题ETF(159703), 国泰中证新材料主题ETF(159761), 建信中证新材料主题ETF(159763)"
A股,171,2017/1/25,新兴成指,成长,-52.67%,-64.85%,-25.73%,"华夏战略新兴成指ETF联接A(006909), 华夏战略新兴成指ETF联接C(006910), 华夏战略新兴成指ETF(512770)"
A股,931663,2015/3/13,SHS消费龙头,成长,-52.56%,-61.51%,-18.87%,"汇添富中证沪港深消费龙头指数发起A(013129), 汇添富中证沪港深消费龙头指数发起C(013130), 招商中证沪港深消费龙头ETF(517550), 浦银安盛中证沪港深消费龙头ETF(517760)"
A股,931481,2020/5/6,SHS线上消费,成长,-52.48%,-67.28%,-31.14%,"天弘中证沪港深线上消费主题ETF(517280), 平安中证沪港深线上消费主题ETF(159793)"
A股,399326,2006/1/24,成长40,成长,-52.39%,-67.05%,-30.79%,"大成深证成长40ETF联接A(090012), 大成深证成长40ETF(159906)"
A股,918,2008/1/21,300成长,成长,-51.87%,-62.76%,-22.63%,"万家沪深300成长ETF发起式联接A(017996), 万家沪深300成长ETF发起式联接C(017997), 300成长(562310), 万家沪深300成长ETF(159656)"
A股,858,2013/11/6,500信息,成长,-51.78%,-69.05%,-35.82%,"南方中证500信息ETF发起联接A(002900), 南方中证500信息ETF发起联接C(004347), 南方中证500信息技术ETF(512330)"
A股,399624,2011/8/15,中创400,成长,-51.77%,-69.17%,-36.08%,"嘉实中创400ETF联接C(005727), 嘉实中创400ETF联接A(070030), 嘉实中创400ETF(159918)"
A股,841,2012/12/21,800医药,成长,-51.75%,-60.54%,-18.22%,"中信保诚中证800医药指数（LOF）C(013080), 中信保诚中证800医药指数（LOF）A(165519)"
A股,993,2011/8/2,全指信息,成长,-50.97%,-69.70%,-38.20%,"广发信息技术联接A(000942), 广发信息技术联接C(002974), 华夏中证全指信息技术ETF(562560), 广发中证全指信息技术ETF(159939)"
A股,931009,2013/7/15,建筑材料,周期,-50.63%,-62.82%,-24.69%,"广发中证全指建筑材料指数A(004856), 广发中证全指建筑材料指数C(004857), 国泰中证全指建筑材料ETF发起联接A(013019), 国泰中证全指建筑材料ETF发起联接C(013020), 富国中证全指建筑材料ETF(516750), 国泰中证全指建筑材料ETF(159745), 易方达中证全指建筑材料ETF(159787)"
A股,399417,2014/9/24,新能源车,成长,-50.60%,-64.16%,-27.45%,"国泰国证新能源汽车指数（LOF）C(014997), 国泰国证新能源汽车指数（LOF）A(160225)"
港股,HSCGSI,2015/8/17,恒生消费指数,价值,-50.59%,-60.18%,-19.41%,"嘉实恒生消费指数发起（QDII）A(018200), 嘉实恒生消费指数发起（QDII）C(018201), 景顺长城恒生消费ETF联接（QDII）A(019102), 景顺长城恒生消费ETF联接（QDII）C(019103), 景顺长城恒生消费ETF（QDII）(513970), 广发恒生消费（QDII-ETF）(159699)"
A股,978,2011/3/18,医药100,成长,-50.41%,-60.43%,-20.21%,"国联安中证医药100A(000059), 天弘中证医药100A(001550), 天弘中证医药100C(001551), 国联安中证医药100C(006569)"
A股,807,2012/2/17,食品饮料,成长,-50.29%,-61.25%,-22.05%,华安中证申万食品饮料ETF(516900)
港股,HSSCNE,2018/1/8,恒生港股通新经济指数,成长,-50.25%,-67.84%,-35.36%,嘉实港股通新经济指数(LOF)A(501311)
A股,930614,2015/4/7,环保50,成长,-50.24%,-62.36%,-24.36%,"国泰中证环保产业50ETF联接A(012503), 国泰中证环保产业50ETF联接C(012504), 国泰中证环保产业50ETF联接E(021610), 国泰中证环保产业50ETF(159861)"
A股,399967,2013/12/26,中证军工,成长,-50.17%,-71.40%,-42.60%,"前海开源中证军工指数A(000596), 前海开源中证军工指数C(002199), 广发中证军工ETF联接A(003017), 广发中证军工ETF联接C(005693), 易方达中证军工指数（LOF）C(012842), 富国中证军工指数C(013035), 申万菱信中证军工指数C(016209), 易方达中证军工指数（LOF）A(502003), 易方达中证军工ETF(512560), 国泰中证军工ETF(512660), 广发中证军工ETF(512680), 华宝中证军工ETF(512810), 富国中证军工指数A(161024), 申万菱信中证军工指数A(163115)"
A股,399396,2012/10/29,国证食品,成长,-50.12%,-61.10%,-22.01%,"国泰国证食品饮料行业指数C(015040), 招商国证食品饮料ETF(159843), 国泰国证食品饮料行业指数A(160222)"
港股,HSCEI,1994/8/8,恒生中国企业指数,价值,-50.11%,-66.64%,-33.13%,"南方恒生中国企业ETF联接A(005554), 南方恒生中国企业ETF联接C(005555), 易方达恒生国企联接（QDII）C(005675), 易方达恒生国企联接（QDII）A(110031), 易方达恒生国企（QDII-ETF）(510900), 嘉实H股50ETF（QDII）(159823), 华夏恒生中国企业ETF（QDII）(159850), 南方恒生中国企业ETF(159954), 平安恒生中国企业ETF(159960), 嘉实H股指数（QDII-LOF）(160717), 银华恒生国企指数（QDII-LOF）(161831)"
A股,827,2012/9/25,中证环保,成长,-49.94%,-69.02%,-38.11%,"广发中证环保ETF联接A(001064), 广发中证环保ETF联接C(002984), 申万菱信中证环保产业指数(LOF)C(010419), 鹏华中证环保产业指数(LOF)C(015685), 鹏华中证环保产业指数(LOF)A(160634), 新华中证环保产业指数(164304), 广发中证环保ETF(512580), 申万菱信中证环保产业指数(LOF)A(163114)"
A股,399814,2014/7/22,大农业,周期,-49.69%,-59.47%,-19.44%,"前海开源中证大农业指数增强A(001027), 前海开源中证大农业指数增强C(015484), 嘉实中证大农业ETF发起联接A(019279), 嘉实中证大农业ETF发起联接C(019280), 嘉实中证大农业ETF(516550)"
A股,905,2007/1/15,中证500,宽基,-49.68%,-65.20%,-30.84%,"嘉实中证500ETF联接A(000008), 建信中证500指数增强A(000478), 天弘中证500ETF联接A(000962), 汇添富中证500指数增强A(001050), 华夏中证500ETF联接A(001052), 华泰柏瑞中证500ETF联接A(001214), 国寿安保中证500ETF联接(001241), 诺安中证500增强A(001351), 景顺长城中证500ETF联接(001455), 天弘中证500指数增强A(001556), 天弘中证500指数增强C(001557), 浙商中证500增强A(002076), 创金合信中证500增强A(002311), 创金合信中证500增强C(002316), 申万菱信中证500指数增强A(002510), 广发中证500ETF联接C(002903), 南方中证500量化增强股票发起A(002906), 南方中证500量化增强股票发起C(002907), 中金中证500A(003016), 中金中证500C(003578), 国泰中证500指数增强A(003760), 国泰中证500指数增强C(003761), 申万菱信中证500指数优选增强A(003986), 招商中证500指数增强A(004192), 招商中证500指数增强C(004193), 南方中证500ETF联接（LOF）C(004348), 富荣中证500指数增强A(004790), 富荣中证500指数增强C(004791), 长信中证500指数A(004945), 博时中证500指数增强A(005062), 华宝中证500增强A(005607), 华宝中证500增强C(005608), 建信中证500指数增强C(005633), 博时中证500指数增强C(005795), 天弘中证500ETF联接C(005919), 安信中证500指数增强A(005965), 安信中证500指数增强C(005966), 国投瑞银中证500指数量化增强A(005994), 长城中证500指数增强A(006048), 华泰柏瑞中证500ETF联接C(006087), 平安500ETF联接A(006214), 平安500ETF联接C(006215), 华夏中证500ETF联接C(006382), 中信建投中证500增强A(006440), 中信建投中证500增强C(006441), 博道中证500增强A(006593), 博道中证500增强C(006594), 人保中证500(006611), 方正富邦中证500ETF联接A(006656), 方正富邦中证500ETF联接C(006657), 景顺长城中证500指数增强A(006682), 万家中证500指数增强发起式A(006729), 万家中证500指数增强发起式C(006730), 鹏华中证500指数C类（LOF）(006938), 易方达中证500ETF联接发起式A(007028), 易方达中证500ETF联接发起式C(007029), 国投瑞银中证500指数量化增强C(007089), 工银中证500ETF联接C(007223), 浙商中证500增强C(007386), 摩根研究驱动股票A(007388), 摩根研究驱动股票C(007389), 长城中证500指数增强C(007413), 申万菱信中证500指数优选增强C(007794), 申万菱信中证500指数增强C(007795), 博道伍佰智航A(007831), 博道伍佰智航C(007832), 国联中证500ETF联接A(007885), 国联中证500ETF联接C(007886), 鹏华中证500ETF联接A(007932), 富安达中证500指数增强A(007943), 华夏中证500指数增强A(007994), 华夏中证500指数增强C(007995), 鹏华中证500ETF联接C(008001), 中泰中证500指数增强A(008112), 中泰中证500指数增强C(008113), 中邮中证500指数增强C(008124), 中银证券中证500ETF联接A(008258), 中银证券中证500ETF联接C(008259), 博时中证500ETF联接A(008396), 博时中证500ETF联接C(008397), 嘉实中证500指数增强A(008778), 嘉实中证500指数增强C(008779), 海富通中证500增强C(009004), 西部利得中证500指数增强C(009300), 平安中证500指数增强A(009336), 平安中证500指数增强C(009337), 广发中证500指数增强A(009608), 广发中证500指数增强C(009609), 上银中证500指数增强型A(009613), 上银中证500指数增强型C(009614), 中加中证500指数增强A(010153), 中加中证500指数增强C(010154), 汇安中证500增强A(010157), 汇安中证500增强C(010158), 兴银中证500指数增强A(010253), 诺安中证500增强C(010355), 东财中证500ETF发起式联接A(010992), 东财中证500ETF发起式联接C(010993), 兴银中证500指数增强C(011205), 九泰中证500指数增强(011519), 泰康中证500ETF联接A(011964), 泰康中证500ETF联接C(011965), 易方达中证500量化增强A(012080), 易方达中证500量化增强C(012081), 汇添富中证500基本面增强指数A(012498), 汇添富中证500基本面增强指数C(012499), 民生加银中证500指数增强发起式A(012926), 民生加银中证500指数增强发起式C(012927), 中信保诚中证500指数（LOF）C(013119), 华夏中证500指数智选增强A(013233), 华夏中证500指数智选增强C(013234), 富国中证500指数增强（LOF）C(013332), 光大保德信中证500指数增强A(013639), 光大保德信中证500指数增强C(013640), 国泰中证500ETF发起联接A(013833), 国泰中证500ETF发起联接C(013834), 圆信永丰中证500指数增强发起A(013878), 圆信永丰中证500指数增强发起C(013879), 长信中证500指数C(013881), 工银中证500六个月持有指数增强A(014133), 工银中证500六个月持有指数增强C(014134), 国泰君安中证500指数增强A(014155), 国泰君安中证500指数增强C(014156), 华泰柏瑞中证500指数增强A(014305), 华泰柏瑞中证500指数增强C(014306), 鹏华中证500指数增强A(014344), 鹏华中证500指数增强C(014345), 华安中证500指数增强A(014587), 华安中证500指数增强C(014588), 中欧中证500指数增强A(015453), 中欧中证500指数增强C(015454), 兴业中证500指数增强A(015507), 兴业中证500指数增强C(015508), 建信中证500指数量化增强发起A(016267), 建信中证500指数量化增强发起C(016268), 汇添富中证500指数增强C(016854), 华泰紫金中证500指数增强发起A(016865), 华泰紫金中证500指数增强发起C(016866), 景顺长城中证500指数增强C(016935), 兴业中证500ETF发起式联接A(016968), 兴业中证500ETF发起式联接C(016969), 泰康中证500指数增强发起A(018116), 泰康中证500指数增强发起C(018117), 财通中证500指数增强A(018633), 财通中证500指数增强C(018634), 中银中证500指数增强型发起A(019553), 中银中证500指数增强型发起C(019554), 中欧中证500指数增强E(019694), 富安达中证500指数增强C(019808), 国联中证500指数增强A(021051), 国联中证500指数增强C(021052), 大成中证500指数增强A(021170), 大成中证500指数增强C(021171), 东方红中证500指数增强发起A(021175), 东方红中证500指数增强发起C(021176), 中信保诚中证500指数增强A(021185), 中信保诚中证500指数增强C(021186), 嘉实中证500ETF联接C(070039), 工银中证500ETF联接A(164809), 海富通中证500增强A(519034), 中邮中证500指数增强A(590007), 农银中证500指数(660011), 汇添富中证500指数（LOF）A(501036), 汇添富中证500指数（LOF）C(501037), 西部利得中证500指数增强A(502000), 南方中证500ETF(510500), 广发中证500ETF(510510), 工银中证500ETF(510530), 方正富邦中证500ETF(510550), 国寿安保中证500ETF(510560), 兴业中证500ETF（证券简称：兴业500；扩位证券简称：兴业中证500ETF）(510570), 易方达中证500ETF(510580), 平安中证500ETF(510590), 华夏中证500ETF(512500), 华泰柏瑞中证500ETF(512510), 中银证券中证500ETF(515190), 泰康500(515530), 国联中证500ETF(515550), 南方中证500增强策略ETF(560100), 汇添富中证500增强策略ETF(560950), 国泰中证500ETF(561350), 500指增(561550), 招商中证500增强策略ETF(561950), 易方达中证500增强策略ETF(563030), 景顺长城中证500增强策略ETF(159610), 博时中证500增强ETF(159678), 天弘中证500ETF(159820), 嘉实中证500ETF(159922), 景顺长城中证500ETF(159935), 博时中证500ETF(159968), 中证500(159982), 南方中证500ETF联接（LOF）A(160119), 鹏华中证500指数A类（LOF）(160616), 富国中证500指数增强（LOF）A/B(161017), 宏利500指数增强(LOF)(162216), 广发中证500ETF联接（LOF）A(162711), 中信保诚中证500指数（LOF）A(165511)"
A股,37,2009/1/9,上证医药,成长,-49.59%,-58.49%,-17.66%,华夏医药ETF(510660)
A股,931068,2018/11/21,消费龙头,成长,-49.59%,-59.40%,-19.46%,"华宝消费龙头C(009329), 招商中证消费龙头指数增强A(011853), 招商中证消费龙头指数增强C(011854), 消费龙头LOF(501090), 华宝消费龙头ETF(516130), 消费龙头ETF(159520)"
A股,930653,2015/6/5,CS食品饮,成长,-49.30%,-60.40%,-21.89%,"天弘中证食品饮料ETF联接A(001631), 天弘中证食品饮料ETF联接C(001632), 东财食品饮料指数增强A(012340), 东财食品饮料指数增强C(012341), 天弘中证食品饮料ETF(159736)"
A股,931480,2020/5/6,线上消费,成长,-49.24%,-65.33%,-31.70%,线上消费ETF(159725)
A股,69,2010/5/28,消费80,成长,-49.06%,-58.29%,-18.12%,"招商上证消费80ETF联接C(004407), 招商上证消费80ETF联接A(217017), 招商上证消费80ETF(510150)"
A股,399438,2014/12/30,绿色电力,价值,-49.01%,-60.14%,-21.83%,"嘉实国证绿色电力ETF发起联接A(017056), 嘉实国证绿色电力ETF发起联接C(017057), 天弘国证绿色电力指数发起A(017174), 天弘国证绿色电力指数发起C(017175), 国泰国证绿色电力ETF发起联接A(018034), 国泰国证绿色电力ETF发起联接C(018035), 嘉实国证绿色电力ETF(159625), 国泰国证绿色电力ETF(159669)"
A股,930902,2016/10/18,中证数据,成长,-48.91%,-65.13%,-31.75%,"富国中证大数据产业ETF发起式联接A(018134), 富国中证大数据产业ETF发起式联接C(018135), 华夏中证大数据产业ETF发起式联接A(020335), 华夏中证大数据产业ETF发起式联接C(020336), 富国中证大数据产业ETF(515400), 华夏中证大数据产业ETF(516000), 华宝大数据ETF(516700)"
A股,399997,2015/1/21,中证白酒,成长,-48.90%,-61.14%,-23.95%,"招商中证白酒指数C(012414), 招商中证白酒指数A(161725)"
A股,36,2009/1/9,上证消费,成长,-48.76%,-59.13%,-20.24%,华夏消费ETF(510630)
A股,930791,2016/3/22,CS医药TI,成长,-48.71%,-58.84%,-19.75%,"富国中证医药主题指数增强型（LOF）C(005626), 天弘中证医药指数增强A(012401), 天弘中证医药指数增强C(012402), 富国中证医药主题指数增强型（LOF）A(161035)"
A股,931380,2019/11/25,科技50,成长,-48.66%,-63.05%,-28.03%,"易方达中证科技50联接A(012717), 易方达中证科技50联接C(012718), 易方达中证科技50ETF(159807)"
A股,399987,2014/12/10,中证酒,成长,-48.34%,-60.35%,-23.25%,"鹏华酒C(012043), 酒ETF(512690), 鹏华酒A(160632)"
A股,815,2012/4/11,细分食品,成长,-48.25%,-59.65%,-22.03%,"华宝食品ETF联接A(012548), 华宝食品ETF联接C(012549), 华泰紫金中证细分食品饮料主题指数发起A(012763), 华泰紫金中证细分食品饮料主题指数发起C(012764), 华夏中证细分食品饮料产业主题ETF发起式联接A(013125), 华夏中证细分食品饮料产业主题ETF发起式联接C(013126), 华夏中证细分食品饮料产业主题ETF(515170), 华宝中证细分食品饮料产业主题ETF(515710), 食品ETF(159862)"
A股,931139,2019/3/20,CS消费50,成长,-48.14%,-57.58%,-18.20%,"富国中证消费50ETF联接A(008975), 富国中证消费50ETF联接C(008976), 东兴中证消费50A(009116), 东兴中证消费50C(009117), 富国中证消费50ETF(515650), 国联安消费50ETF(159670), 易方达中证消费50ETF(159798)"
A股,931526,2020/8/24,企业核心竞争力50,成长,-48.06%,-57.84%,-18.83%,"核心50ETF(560650), 漂亮50(561500)"
A股,932,2009/7/3,中证消费,成长,-47.87%,-58.69%,-20.76%,"汇添富中证主要消费ETF联接A(000248), 嘉实中证主要消费ETF发起联接A(009179), 嘉实中证主要消费ETF发起联接C(009180), 汇添富中证主要消费ETF联接C(012857), 嘉实中证主要消费ETF(512600), 广发中证主要消费ETF(560680), 博时主要消费ETF(159672), 南方中证主要消费ETF(159689), 汇添富中证主要消费ETF(159928)"
A股,989,2011/8/2,全指可选,成长,-47.84%,-62.65%,-28.39%,"广发可选消费联接A(001133), 广发可选消费联接C(002977), 华夏中证全指可选消费ETF发起式联接A(021365), 华夏中证全指可选消费ETF发起式联接C(021366), 华夏中证全指可选消费ETF(562580), 广发中证全指可选消费ETF(159936)"
A股,930716,2015/7/31,CS物流,成长,-47.77%,-58.36%,-20.28%,"物流快递(516530), 富国中证现代物流ETF(516910)"
A股,399412,2014/5/16,国证新能,成长,-47.57%,-63.05%,-29.53%,"交银国证新能源指数（LOF）C(013453), 交银国证新能源指数（LOF）A(164905)"
A股,991,2011/8/2,全指医药,成长,-47.54%,-57.79%,-19.54%,"广发医药卫生联接A(001180), 广发医药卫生联接C(002978), 银华中证全指医药卫生指数增强发起式(005112), 广发中证全指医药卫生ETF(159938)"
A股,9,2010/11/29,上证380,宽基,-47.20%,-63.80%,-31.44%,"南方上证380ETF联接C(007571), 南方上证380ETF联接A(202025), 南方上证380ETF(510290)"
A股,806,2012/2/10,消费服务,成长,-47.14%,-58.04%,-20.62%,消费服务ETF(516600)
A股,982,2011/6/13,500等权,成长,-46.98%,-64.83%,-33.67%,"招商中证500等权重指数增强A(009726), 招商中证500等权重指数增强C(009727), 前海开源中证500等权ETF(515590)"
A股,949,2009/10/28,中证农业,周期,-46.67%,-56.25%,-17.96%,"天弘中证农业主题A(010769), 天弘中证农业主题C(010770), 富国中证农业主题ETF联接A(015878), 富国中证农业主题ETF联接C(015879), 华夏中证农业主题ETF发起式联接A(016077), 华夏中证农业主题ETF发起式联接C(016078), 博时中证农业主题指数发起式A(017019), 博时中证农业主题指数发起式C(017020), 华夏中证农业主题ETF(516810), 富国中证农业主题ETF(159825), 农业50(159827)"
